countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
KEN,2023,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2022,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2021,76.5424499511719,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2020,71.4927139282227,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2019,69.7,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2018,61.1806144714355,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2017,55.8319931030273,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2016,53.1,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2015,41.6,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2014,36.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2013,40.0921516418457,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2012,38.1259918212891,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2011,36.1578636169434,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2010,19.2,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2009,23.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2008,30.2800559997559,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2007,28.3424415588379,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2006,26.4220523834229,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2005,24.5225009918213,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2004,22.6422061920166,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2003,16.0,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2002,18.9120292663574,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2001,17.0481357574463,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,2000,15.1756944656372,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1999,13.2088918685913,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1998,14.5,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1997,9.32631778717041,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1996,7.37853050231934,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1995,5.42734336853027,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1994,3.47343683242798,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1993,10.9,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1992,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1991,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1990,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1989,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1988,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1987,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1986,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1985,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1984,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1983,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1982,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1981,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1980,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1979,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1978,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1977,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1976,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1975,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1974,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
KEN,1973,,,,1,EG.ELC.ACCS.ZS,Access to electricity (% of population),KE,Kenya
