countryiso3code,date,value,unit,obs_status,decimal,indicator.id,indicator.value,country.id,country.value
KEN,2023,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2022,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2021,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2020,72.5,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2019,71.42,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2018,71.63,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2017,71.03,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2016,71.07,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2015,71.96,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2014,74.31,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2013,76.55,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2012,78.25,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2011,76.79,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2010,76.11,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2009,77.61,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2008,79.87,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2007,79.78,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2006,79.26,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2005,80.69,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2004,81.67,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2003,82.87,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2002,80.14,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2001,79.63,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,2000,78.15,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1999,78.87,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1998,79.07,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1997,79.22,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1996,78.31,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1995,79.13,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1994,80.24,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1993,79.96,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1992,79.18,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1991,78.56,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1990,77.23,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1989,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1988,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1987,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1986,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1985,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1984,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1983,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1982,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1981,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1980,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1979,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
KEN,1978,,,,2,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),KE,Kenya
